Date,Close,VIX,Oil
02-12-2021,17401.65039,18.09000015,66.5
03-12-2021,17196.69922,18.45000076,66.26000214
06-12-2021,16912.25,20.07999992,69.48999786
07-12-2021,17176.69922,18.45999908,72.05000305
08-12-2021,17469.75,17.27000046,72.36000061
09-12-2021,17516.84961,16.60000038,70.94000244
10-12-2021,17511.30078,16.05999947,71.66999817
13-12-2021,17368.25,16.56999969,71.29000092
14-12-2021,17324.90039,16.95000076,70.73000336
15-12-2021,17221.40039,17.21999931,70.87000275
16-12-2021,17248.40039,15.89999962,72.37999725
17-12-2021,16985.19922,16.34000015,70.86000061
20-12-2021,16614.19922,18.96999931,68.23000336
21-12-2021,16770.84961,17.54000092,71.12000275
22-12-2021,16955.44922,16.57999992,72.76000214
23-12-2021,17072.59961,15.82999992,73.79000092
27-12-2021,17086.25,17.12000084,75.56999969
28-12-2021,17233.25,16.47999954,75.98000336
29-12-2021,17213.59961,16.23999977,76.55999756
30-12-2021,17203.94922,16.56999969,76.98999786
31-12-2021,17354.05078,16.21999931,75.20999908
03-01-2022,17625.69922,16.45000076,76.08000183
04-01-2022,17805.25,16.12000084,76.98999786
05-01-2022,17925.25,17.22999954,77.84999847
06-01-2022,17745.90039,17.97999954,79.45999908
07-01-2022,17812.69922,17.60000038,78.90000153
10-01-2022,18003.30078,17.68000031,78.23000336
11-01-2022,18055.75,17.76000023,81.22000122
12-01-2022,18212.34961,17.18000031,82.63999939
13-01-2022,18257.80078,16.70000076,82.12000275
14-01-2022,18255.75,16.55999947,83.81999969
18-01-2022,18113.05078,17.78000069,85.43000031
19-01-2022,17938.40039,17.81999969,86.95999908
20-01-2022,17757,17.79000092,86.90000153
21-01-2022,17617.15039,18.88999939,85.13999939
24-01-2022,17149.09961,22.82999992,83.30999756
25-01-2022,17277.94922,21.36000061,85.59999847
27-01-2022,17110.15039,21.06999969,86.61000061
28-01-2022,17101.94922,20.70000076,86.81999969
31-01-2022,17339.84961,21.95000076,88.15000153
01-02-2022,17576.84961,19.97999954,88.19999695
02-02-2022,17780,18.64999962,88.26000214
03-02-2022,17560.19922,19.15999985,90.26999664
04-02-2022,17516.30078,18.89999962,92.30999756
07-02-2022,17213.59961,20.44000053,91.31999969
08-02-2022,17266.75,19.68000031,89.36000061
09-02-2022,17463.80078,18.55999947,89.66000366
10-02-2022,17605.84961,17.70999908,89.87999725
11-02-2022,17374.75,18.68000031,93.09999847
14-02-2022,16842.80078,22.97999954,95.45999908
15-02-2022,17352.44922,20.61000061,92.06999969
16-02-2022,17322.19922,20.59000015,93.66000366
17-02-2022,17304.59961,22.01000023,91.76000214
18-02-2022,17276.30078,22.17000008,91.06999969
22-02-2022,17092.19922,26.65999985,92.34999847
23-02-2022,17063.25,24.54000092,92.09999847
24-02-2022,16247.9502,31.97999954,92.80999756
25-02-2022,16658.40039,26.73999977,91.58999634
28-02-2022,16793.90039,28.56999969,95.72000122
02-03-2022,16605.94922,29.22999954,110.5999985
03-03-2022,16498.05078,28.15999985,107.6699982
04-03-2022,16245.34961,27.95999908,115.6800003
07-03-2022,15863.15039,29.32999992,119.4000015
08-03-2022,16013.4502,28.59000015,123.6999969
09-03-2022,16345.34961,27.46999931,108.6999969
10-03-2022,16594.90039,25.57999992,106.0199966
11-03-2022,16630.44922,25.35000038,109.3300018
14-03-2022,16871.30078,25.68000031,103.0100021
15-03-2022,16663,26.72999954,96.44000244
16-03-2022,16975.34961,24.12000084,95.04000092
17-03-2022,17287.05078,22.61000061,102.9800034
21-03-2022,17117.59961,24.62000084,112.1200027
22-03-2022,17315.5,24.06999969,111.7600021
23-03-2022,17245.65039,24.75,114.9300003
24-03-2022,17222.75,23.93000031,112.3399963
25-03-2022,17153,23.43000031,113.9000015
28-03-2022,17222,22.61000061,105.9599991
29-03-2022,17325.30078,21.29999924,104.2399979
30-03-2022,17498.25,20.61000061,107.8199997
31-03-2022,17464.75,20.55999947,100.2799988
01-04-2022,17670.44922,18.43000031,99.26999664
04-04-2022,18053.40039,17.90999985,103.2799988
05-04-2022,17957.40039,18.48999977,101.9599991
06-04-2022,17807.65039,19.02000046,96.23000336
07-04-2022,17639.55078,19,96.02999878
08-04-2022,17784.34961,17.69000053,98.26000214
11-04-2022,17674.94922,18.27000046,94.29000092
12-04-2022,17530.30078,18.15999985,100.5999985
13-04-2022,17475.65039,17.79000092,104.25
18-04-2022,17173.65039,19.34000015,108.2099991
19-04-2022,16958.65039,19.77000046,102.5599976
20-04-2022,17136.55078,18.67000008,102.75
21-04-2022,17392.59961,17.85000038,103.7900009
22-04-2022,17171.94922,18.35000038,102.0699997
25-04-2022,16953.94922,21.26000023,98.54000092
26-04-2022,17200.80078,19.19000053,101.6999969
27-04-2022,17038.40039,20.61000061,102.0199966
28-04-2022,17245.05078,19.37999916,105.3600006
29-04-2022,17102.55078,19.42000008,104.6900024
02-05-2022,17069.09961,20.28000069,105.1699982
04-05-2022,16677.59961,21.87999916,107.8099976
05-05-2022,16682.65039,20.29000092,108.2600021
06-05-2022,16411.25,21.25,109.7699966
09-05-2022,16301.84961,22.03000069,103.0899963
10-05-2022,16240.0498,22.29999924,99.76000214
11-05-2022,16167.09961,22.79999924,105.7099991
12-05-2022,15808,24.27000046,106.1299973
13-05-2022,15782.15039,23.48999977,110.4899979
16-05-2022,15842.2998,24.53000069,114.1999969
17-05-2022,16259.2998,22.73999977,112.4000015
18-05-2022,16240.2998,22.29999924,109.5899963
19-05-2022,15809.40039,24.55999947,112.2099991
20-05-2022,16266.15039,23.10000038,113.2300034
23-05-2022,16214.7002,23.39999962,110.2900009
24-05-2022,16125.15039,25.63999939,109.7699966
25-05-2022,16025.7998,25.28000069,110.3300018
26-05-2022,16170.15039,22.71999931,114.0899963
27-05-2022,16352.4502,21.47999954,115.0699997
31-05-2022,16584.55078,20.47999954,114.6699982
01-06-2022,16522.75,20.85000038,115.2600021
02-06-2022,16628,20.31999969,116.8700027
03-06-2022,16584.30078,19.97999954,118.8700027
06-06-2022,16569.55078,20.20000076,118.5
07-06-2022,16416.34961,20.43000031,119.4100037
08-06-2022,16356.25,19.84000015,122.1100006
09-06-2022,16478.09961,19.13999939,121.5100021
10-06-2022,16201.7998,19.57999992,120.6699982
13-06-2022,15774.40039,22.37000084,120.9300003
14-06-2022,15732.09961,21.88999939,118.9300003
15-06-2022,15692.15039,22.14999962,115.3099976
16-06-2022,15360.59961,22.87000084,117.5899963
17-06-2022,15293.5,22.76000023,109.5599976
21-06-2022,15638.7998,21.13999939,110.6500015
22-06-2022,15413.2998,21.29999924,106.1900024
23-06-2022,15556.65039,20.87999916,104.2699966
24-06-2022,15699.25,20.54999924,107.6200027
27-06-2022,15832.0498,21.01000023,109.5699997
28-06-2022,15850.2002,21.45000076,111.7600021
29-06-2022,15799.09961,21.89999962,109.7799988
30-06-2022,15780.25,21.84000015,105.7600021
01-07-2022,15752.0498,21.25,108.4300003
05-07-2022,15810.84961,20.79000092,99.5
06-07-2022,15989.7998,20.27000046,98.52999878
07-07-2022,16132.90039,19.20000076,102.7300034
08-07-2022,16220.59961,18.39999962,104.7900009
11-07-2022,16216,18.37000084,104.0899963
12-07-2022,16058.2998,18.54999924,95.83999634
13-07-2022,15966.65039,18.52000046,96.30000305
14-07-2022,15938.65039,18.34000015,95.77999878
15-07-2022,16049.2002,17.60000038,97.58999634
18-07-2022,16278.5,17.15999985,102.5999985
19-07-2022,16340.5498,17.20000076,104.2200012
20-07-2022,16520.84961,16.81999969,102.2600021
21-07-2022,16605.25,16.86000061,96.34999847
22-07-2022,16719.44922,16.64999962,94.69999695
25-07-2022,16631,17.68000031,96.69999695
26-07-2022,16483.84961,18.17000008,94.98000336
27-07-2022,16641.80078,18.12999916,97.26000214
28-07-2022,16929.59961,17.01000023,96.41999817
29-07-2022,17158.25,16.54999924,98.62000275
01-08-2022,17340.05078,17.48999977,93.88999939
02-08-2022,17345.44922,18.53000069,94.41999817
03-08-2022,17388.15039,18.45000076,90.66000366
04-08-2022,17382,19.26000023,88.54000092
05-08-2022,17397.5,18.92000008,89.01000214
08-08-2022,17525.09961,19.29999924,90.76000214
10-08-2022,17534.75,19.59000015,91.93000031
11-08-2022,17659,18.36000061,94.33999634
12-08-2022,17698.15039,17.61000061,92.08999634
16-08-2022,17825.25,17.68000031,86.52999878
17-08-2022,17944.25,17.68000031,88.11000061
18-08-2022,17956.5,17.35000038,90.5
19-08-2022,17758.44922,18.29000092,90.76999664
22-08-2022,17490.69922,19.04000092,90.23000336
23-08-2022,17577.5,19.04999924,93.73999786
24-08-2022,17604.94922,18.43000031,94.88999939
25-08-2022,17522.44922,19.56999969,92.51999664
